country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Finland,1.74M,1.62M,1.56M,1.87M,2.25M,2.28M,2.03M,2.25M,2.5M,2.54M,2.3M,3.11M,3.13M,4.22M,4.07M,4.62M,2.84M,3.15M,3.42M,3.94M,4.99M,4.56M,5.11M,5.12M,5M,5.27M,5.26M,4.79M,5.48M,6.67M,5.9M,7.03M,6.66M,5.46M,5.29M,5.02M,6.06M,6.59M,8.22M,7.38M,4.74M,7.41M,7M,5.33M,5.37M,6.79M,5.51M,4.51M,4.99M,4.47M,3.82M,4.37M,4M,4.19M,3.5M
France,41.4M,38.3M,37.8M,36.4M,36.4M,34.7M,31.8M,28.3M,27.9M,28.3M,24.8M,29.2M,28.1M,29.3M,31.8M,31.2M,28.4M,29M,26.3M,25.1M,24.4M,20.2M,18.4M,17.9M,19.5M,19M,20.2M,17.8M,14.6M,14.3M,14.7M,15.6M,13.7M,16.3M,14.6M,14.2M,12.4M,12.8M,13.6M,12.9M,13.4M,12.4M,12.8M,12.1M,10.8M,11.5M,9.77M,11.1M,11.6M,8.64M,8.38M,8.16M,9.27M,8.38M,6.44M
United Kingdom,117M,112M,104M,104M,102M,96M,85.1M,74.5M,80.7M,71.1M,71.5M,72.8M,73M,71.1M,76.5M,71.1M,70.7M,65.9M,66.5M,47.3M,62.9M,67.9M,69.6M,67.5M,65M,64.9M,65.1M,61.2M,53.3M,49.7M,47.5M,44.4M,39.6M,38.6M,34.3M,36.7M,38.9M,35.7M,38.1M,36.6M,37.4M,40.9M,38.4M,35.6M,29.8M,30.9M,31.4M,39M,37M,29.8M,23.1M,11.1M,9.06M,7.58M,6.26M
Greece,2.11M,2.1M,2.01M,2.27M,2.2M,2.53M,3.73M,3.98M,4.68M,4.93M,6.46M,7.63M,8.11M,7.21M,3.96M,3.96M,3.92M,3.98M,4.88M,5.21M,6.04M,5.77M,6.59M,7.39M,7.95M,8.06M,7.75M,8.09M,8.09M,8.1M,8.08M,7.86M,8.46M,8.85M,8.51M,9.02M,9.33M,8.97M,9.02M,9.25M,9.12M,8.4M,8.86M,8.34M,8.43M,7.87M,7.9M,8.14M,6.99M,6.72M,5.63M,4.36M,4.8M,4.57M,3.31M
"Hong Kong, China",123k,106k,85k,61k,36k,21k,27k,13k,7000,7000,6000,8000,7000,5000,4000,2000,35k,895k,2.1M,2.74M,3.4M,3.93M,4.93M,5.7M,6.11M,5.49M,5.93M,6.28M,7.28M,5.2M,5.6M,4.16M,3.51M,4.37M,3.73M,4.34M,6.85M,5.33M,6.76M,6.31M,6.87M,6.86M,7.48M,6.85M,7.16M,6.23M,7.41M,7.29M,7.77M,8.14M,6.7M,6.7M,6.27M,6.27M,6.17M
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,809k,455k,400k,340k,213k,175k,143k,243k,233k,206k,432k,481k,584k,650k,690k,684k,635k,689k,709k,507k,683k,703k,630k,675k,647k,606k,651k,392k,365k,432k
Hungary,10.9M,10.5M,9.08M,8.96M,9.09M,9.24M,8.95M,8.69M,8.74M,8.33M,7.94M,8.04M,8.18M,8.18M,8.24M,8.08M,8.12M,8.46M,7.96M,7.74M,7.6M,7.51M,7.51M,7.09M,6.35M,6.16M,5.73M,5.17M,4.66M,4.42M,4.35M,4.29M,4.1M,3.98M,4.14M,3.87M,3.68M,3.55M,3.63M,3.44M,3.06M,3.07M,3.12M,3.03M,2.56M,2.69M,2.71M,2.61M,2.29M,2.26M,2.34M,2.19M,2.24M,2.12M,1.88M
Indonesia,129k,158k,111k,83k,100k,87k,100k,100k,67k,73k,93k,93k,100k,133k,200k,253k,270k,255k,255k,267k,900k,1.45M,2.27M,2.37M,3.55M,3.42M,3.46M,4.23M,4.93M,4.93M,5.42M,6.47M,7.97M,8.56M,11.8M,13.2M,16.7M,17.2M,23.1M,21.3M,24.4M,28.9M,36.2M,31.5M,33.2M,39.5M,46.9M,53M,57M,45.1M,51.1M,53.3M,57.2M,67.8M,81.4M
India,35.5M,35.5M,36.1M,37.3M,39.6M,37.6M,38.1M,40.2M,39.7M,44.8M,48.1M,50.1M,52.5M,50.8M,54M,56.7M,63.8M,63.1M,67M,70.4M,73.7M,79.2M,87M,93.3M,101M,110M,117M,124M,128M,132M,140M,144M,151M,156M,155M,164M,166M,173M,181M,193M,211M,219M,240M,259M,281M,290M,305M,330M,353M,388M,395M,403M,417M,443M,445M
Ireland,3.13M,3.56M,3.79M,4.63M,4.41M,2.15M,2.05M,1.91M,1.86M,2.01M,1.7M,1.75M,1.83M,1.73M,1.99M,1.88M,1.97M,2.09M,2.26M,2.17M,2.49M,2.74M,3.52M,3.58M,3.59M,3.46M,3.32M,3.16M,3.07M,2.94M,2.96M,2.98M,2.84M,2.86M,2.46M,2.62M,2.74M,2.63M,2.55M,2.38M,2.65M,2.39M,2.33M,2.28M,2M,1.99M,1.95M,2.26M,2.05M,2.01M,2.19M,2.11M,1.79M,1.41M,959k
